genre,style,country,mood,biography
Hip-Hop,Urban/R&B,"College Park, Georgia, U.S.",,"Sergio Giavanni Kitchens (born June 14, 1993), known professionally as Gunna, is an American rapper, singer and songwriter. Best known for his collaborations with Young Thug and Lil Baby, he is signed to Thug's record label, YSL Records, as well as 300 Entertainment and Atlantic Records. He released his debut studio album, Drip or Drown 2 on February 22, 2019. Gunna released his second album Wunna on May 22, 2020.

Early life
Kitchens was born in College Park, Georgia. He was raised by his mother and has four older brothers. He started making music at age fifteen. He grew up listening to Cam'ron, Chingy and Outkast, among others. Kitchens also attended Langston Hughes High School. In 2013, Gunna released the mixtape Hard Body under the name Yung Gunna."
Hip-Hop,Urban/R&B,"Tallahassee, Florida, USA",Confrontational,"Faheem Rasheed Najm (born September 30, 1985), who goes by his stage name T-Pain, is an American singer-songwriter, rapper, record producer, and actor. His debut album, Rappa Ternt Sanga, was released in 2005. In 2007, T-Pain released his second studio album Epiphany, which reached number one on the Billboard 200. His third studio album, Thr33 Ringz, was released in 2008. T-Pain has earned two Grammy Awards alongside artists Kanye West and Jamie Foxx.
T-Pain is the founder of the record label Nappy Boy Entertainment, established in 2005. Throughout his career as a singer, T-Pain has extensively used the Auto-Tune pitch correction effect."
Trap,Urban/R&B,"Dallas, Texas",,"Xavier Landum (born May 12, 1998), better known by his stage name BigXthaPlug, is an American rapper and songwriter. He is currently signed to UnitedMasters and is best known for his songs ""Texas"", ""Mmhmm"", ""Climate"", ""Levels"" and ""Whip It""."
Rap,Religious,"Gladwin, Michigan, USA",Gritty,"Nathan John ""Nate"" Feuerstein (born March 30, 1991), whose stage name is NF, is an American Christian hip hop rapper, singer and musician. He released an extended play in 2014 with Capitol CMG and Sparrow Records, NF, and it was his breakthrough release on the Billboard charts. His first studio album, Mansion, came out in 2015.

NF was born Nathan John Feuerstein, in Gladwin, Michigan on March 30, 1991. His parents divorced, and he was raised by his father. His mother died of an accidental drug overdose in 2009. He was a 2009 graduate of Gladwin High School, and was on the basketball team.

NF started his career by going to ""Fine Arts Festival"" and competed for Connection Church in Canton, MI.

NF started making music in 2010, and released his debut album Moments under the name Nathan Feuerstein. During this time he also started working on his EP, NF, but didn't release it until 2014 because of a label dispute with Xist Music that caused them to part ways. Despite this, NF did return to make a song for Xist Music for their compilation album. The album was released on August 28, 2012. He released a single, Beautiful Addiction, on November 4, 2013 as Nate Feuerstein. He signed to Capitol CMG and Sparrow Records, in 2014, before the release of the EP NF This project was his breakthrough release on the Billboard, as it charted on the Christian Albums chart at No. 12, on the Top Gospel Albums at No. 4, and on the Top Rap Albums at No. 15. This extended play was reviewed by Jesus Freak Hideout and New Release Tuesday, receiving two, three and a half star reviews. CCM Magazine reviewed the EP and awarded it four stars. His first studio album, Mansion, released on March 31, 2015 by Capitol CMG and Sparrow.

NF is featured on Flame's song ""Start Over"" and TobyMac's song ""Til the Day I Die"" on his album This Is Not a Test. His song ""Intro"" is featured on the video game Madden NFL 16. The music of NF has been heard on ESPN, VH1, Showtime, NBC’s “Chicago P.D.,” and “Grimm,”, the new show ""Shades of Blue"" and was heard during the season finale trailer of Fox’s hit show “Empire.” His music video for “Intro” exclusively premiered on MTV.com‘s homepage, and the video has also appeared on MTVU, Absolute Punk, 2Dopeboyz, Raps & Hustles and The College Dropouts.

On February 12, 2016 NF announced his second studio album, Therapy Session, was due to be released April 22, 2016. His new single from this album, ""I Just Wanna Know"", was released on April 8, 2016."
Hip-Hop,Urban/R&B,"Frankfurt, Germany",Energetic,"Jermaine Lamar Cole (born January 28, 1985), better known by his stage name J. Cole, is a German-born American hip hop recording artist and record producer from Fayetteville, North Carolina. In 2009, he became the first artist to sign to Jay-Z's Roc Nation label. His long-awaited debut album titled Cole World: The Sideline Story was released on September 27, 2011. The album debuted at number one on the US Billboard 200, Top R&B Albums and Top Rap Albums chart, selling more than 217,000 in its first week sales. He received a nomination for Best New Artist at the 54th Grammy Awards.
Cole was born in Frankfurt, Germany, on January 28, 1985. His father is African American and served in the United States Army, while his mother is white. At the age of 8 months old, Cole relocated to Fayetteville, North Carolina, where he was raised by his mother, aunt and cousin. His father left the family when he was still a boy.
Cole grew up in a multi-ethnic environment. His childhood revolved around a love for both basketball and rap music. He attended Terry Sanford High School and decided to study guitar under the well-known artist Mark Ebert. Cole eventually graduated from high school in 2003. He concluded that he had a better chance of getting a record deal in New York City, so he chose to attend St. John's University on an academic scholarship. There, he majored in communication and minored in business, graduating magna cum laude."
Trap,Urban/R&B,"Houston, Texas, USA",Boisterous,"Jacques Webster (born April 30, 1991), better known by his stage name Travis Scott (formerly stylized as Travi$ Scott), is an American hip hop recording artist and record producer from Houston, Texas. In 2012, Scott signed a record deal with Epic Records. In November of the same year, Scott signed a deal with GOOD Music, as an in-house producer, after appearing on the label's debut compilation album Cruel Summer (2012). In April 2013, it was announced he signed with T.I.'s Grand Hustle imprint. He released his first full-length project, a mixtape titled Owl Pharaoh, in May 2013. He then released his second mixtape Days Before Rodeo in August 2014. His debut album Rodeo, was released on September 4, 2015. His sophomore album, Birds in the Trap Sing McKnight, was released on September 2, 2016.

Jacques Webster was born on April 30, 1991 in Houston, Texas. He grew up in Missouri City, a suburban area bordering south Houston and attended Elkins High School. Normally, Scott would stay with his grandmother, while his mother worked for the technology company Apple, and his father ran his own business. Scott attended the University of Texas at Austin as well as The University of Texas at San Antonio before leaving to fully pursue his music career.

Spin magazine compared his 2013 mixtape Owl Pharaoh to that of Cudi's Man on the Moon II: The Legend of Mr. Rager. Scott has stated that he is influenced by Kid Cudi, M.I.A., Kanye West, Toro y Moi, and T.I.."
Hip-Hop,Urban/R&B,"Baton Rouge, Louisiana, U.S.",,"Kentrell DeSean Gaulden (born October 20, 1999), known professionally as YoungBoy Never Broke Again (also known as NBA YoungBoy or simply YoungBoy), is an American rapper, singer, and songwriter. Between 2015 and 2017, Gaulden would release eight independent mixtapes locally and online, and steadily garner a cult following through his work. In late 2017, Gaulden was signed to Atlantic Records, who would distribute two additional mixtapes before releasing his highest charting single, ""Outside Today"" in January 2018–which peaked at number 31 on the Billboard Hot 100 chart. The song was the lead single for his debut studio album Until Death Call My Name, released in April of that year. His follow up singles include ""Valuable Pain"", ""Slime Belief"" and ""Genie""."
Hip-Hop,Urban/R&B,"Atlanta, GE",,"Nayvadius DeMun Wilburn, (born November 20, 1983), better known by his stage name Future, is an American hip hop artist from Atlanta, Georgia. After releasing a series of mixtapes between 2010 and 2011, Future signed a major-label deal with Epic Records and fellow American rapper Rocko's A1 Recordings, which helped launch Future's own label imprint, Freebandz. Future subsequently began working on his debut album Pluto, and in April 2012 released the album to positive reviews. The album spawned five singles, all of which charted on the U.S. Billboard Hot 100 chart. The album was later re-packaged in November, as Pluto 3D. His second album Honest, was released in April 2014. He unexpectedly released his third album, DS2, in July 2015, which earned him his first No. 1 on the Billboard 200. Future premiered his fourth studio album EVOL on February 5, 2016 on DJ Khaled's We The Best Radio's debut on Beats 1."
Hip-Hop,Urban/R&B,"Compton, California, USA",Gritty,"Kendrick Lamar Duckworth (born June 17, 1987) is an American hip hop recording artist from Compton, California. Lamar embarked on his musical career as a teenager under the moniker K-Dot, released a mixtape which garnered local attention and led to his signing with Carson-based independent record label Top Dawg Entertainment (TDE). Lamar began to gain major recognition in 2010 after his first retail release, Overly Dedicated. The following year, he released Section.80, his first independent album, exclusively through iTunes. The album included Lamar's debut single, ""HiiiPoWeR"". By that time, Lamar had amassed a large internet following and had already worked with several prominent artists in the hip hop industry, including The Game, Snoop Dogg, and Busta Rhymes.

Lamar secured a recording contract with Aftermath and Interscope Records in 2012. His major-label debut album, good kid, m.A.A.d city, was released in October 2012 to universal acclaim. The record contained the top 40 singles ""Swimming Pools (Drank)"", ""Bitch, Don't Kill My Vibe"", and ""Poetic Justice"". Upon its release, the album debuted at number two on the U.S. Billboard 200 chart and was later certified platinum by the Recording Industry Association of America (RIAA). In early 2013, MTV named Lamar the No. 1 ""Hottest MC in the Game"" on their annual list.

In 2015, Lamar released his third studio album To Pimp a Butterfly, incorporating elements of funk, spoken word poetry and jazz in the hip hop record – it debuted atop the charts in the U.S. and the UK. The album was preceded by its lead single ""i"", which earned him his first two Grammy Awards at the 2015 ceremony: Best Rap Performance and Best Rap Song. Later that year, Taylor Swift and Lamar's collaboration ""Bad Blood"" reached number one on the Billboard Hot 100. Apart from his solo career, Lamar is also known as a member of the West Coast hip hop supergroup Black Hippy, alongside his TDE labelmates and fellow South Los Angeles-based rappers Ab-Soul, Jay Rock and Schoolboy Q."
Hip-Hop,Electronic,"Tupelo, Mississippi, USA",Energetic,"Wes Pentz aka Diplo was born in Tupelo, Mississippi. Most of his childhood was spent in Florida, where his father still owns and runs a bait shop. His youth was spent discussing 'gators with his uncle, working in pop's store and dreaming of dinosaurs living hidden out in the swamp. As he grew up he began to channel these obsessions into music (Miami Bass being a touchstone, of course) and film.

After a brief stint at film school and a season out on the shrimp boats, the need to escape from America for a while led to some time in Japan, from where he sent the beat doodles he had been working on to Big Dada in the UK and was promptly signed. He returned to the US and moved to Philly where he and another DJ, Low Budget, began their now-legendary Hollertronix sessions. The Hollertronix mix cd, 'Never Scared' followed and later in the year the lost classic 'Epistemology Suite' EP became his first release for Big Dada.

'Florida' followed soon after, the debut album which he described as ""based loosely on Wiliam Faulkner's 'Go Down Moses' with a definite red clay shrimp and manatee dirty south feel."" Featuring vocals from Martina Topley-Bird, Vybz Cartel, PEACE, Pantera Os Danadinhos and Sandra Melody, it showed the breadth of Diplo's imagination and the depth of his influences. It was welcomed ecstatically by those who found it but is still to reach the audience it deserved. 

Since the record was released, Diplo has become a major star. Starting with the critically-acclaimed and hard-to-find mix cds 'Favela On Blast', 'AEIOU' Vols 1 & 2, M.I.A.'s 'Piracy Funds Terrorism' and 'Hollertronix 2', Pentz built up a reputation as a go-to producer which culminated in his Grammy nomination for MIA's ""Paper Planes."" Alongside Switch he also started the Major Lazer project and produced for artists including Beyonce, No Doubt, Usher and Justin Bieber. In 2009, Big Dada released ""Decent Work For Decent Pay,"" a compilation of Diplo's productions and remixes."
Rap,Urban/R&B,"Los Angeles, California, USA",Fun,"Tyler, The Creator is an American rapper, producer, and multi-artist known for his uncompromising creativity and genre-defying music. He first broke through as the front figure of the controversial collective Odd Future, and has since established himself as one of the most innovative voices in modern hip-hop. With albums like IGOR and Call Me If You Get Lost, he has demonstrated a unique ability to combine introspective lyrics with ambitious production, and his visual style, humor, and fashion sense have made him a cultural icon far beyond music."
Hip-Hop,Urban/R&B,"New York, USA",Excitable,"Onika Tanya Maraj (born December 8, 1982), known by her stage name Nicki Minaj, is a Trinidadian-born American rapper, singer, songwriter and voice actress. She was born in Saint James, Trinidad and Tobago and when she was 5 years of age she moved to the New York City borough of Queens, where she grew up.
After releasing three mixtapes between 2007 and 2009 and being signed to Young Money Entertainment in August 2009, Minaj released her debut album, Pink Friday, in November 2010. It quickly became a commercial success, peaking at number one on the U.S. Billboard 200 and being certified Platinum by the Recording Industry Association of America (RIAA) a month after its release. She became the first female solo artist to have seven singles on the Billboard Hot 100 at the same time. Her second single, ""Your Love"", reached number 1 on the Billboard Hot Rap Songs chart, making Minaj the first female artist to top the chart unaccompanied since 2002. She also became the first female artist to be included on MTV's Annual Hottest MC List. Minaj was named the 2011 Rising Star by Billboard. Her second studio album, Pink Friday: Roman Reloaded was released on April 3, 2012.
Maraj was born in 1982 in Saint James, a suburb of Trinidad and Tobago's capital city Port of Spain. Her parents are of mixed Indian and Afro-Trinidadian ancestry and she lived in Saint James with her grandmother until age five, because her parents were looking for a place to live in the Queens borough of New York City at the time. Her mother would occasionally visit, and one day, when Minaj was five, her mother picked her up to move to Queens. According to Minaj, her father drank heavily, took drugs, and once tried to kill her mother by setting the house on fire.
She attended Elizabeth Blackwell Middle School 210, where she played the clarinet. She graduated from LaGuardia High School. At LaGuardia, a school specializing in music and the visual and performing arts, Minaj participated in the drama program. She had initially planned to sing at LaGuardia but lost her voice on the day of the audition."
,,,,"Snapper is a New Zealand indie/alternative band formed by Peter Gutteridge (previously in The Clean, The Chills and The Great Unwashed). Snapper's activity since the late 1990s has been sporadic at best. The Gutteridge-penned song ""Gentle Hour"" was covered by Yo La Tengo in 2009.

The band evolved from the line-up of another Gutteridge-led band, the Dunedin-based Phromes. A show supporting the Delawares featuring Christine Voice drew her melodic organ and haunting vocals to the fold and with input from Alan Haig on drums and Dominic Stones (who went on to the 3Ds) on guitar, the line-up was complete.

Snapper's first full-length album, Shotgun Blossom, was released in 1992 with the original line-up. The seven inch single ""Vadar"" b/w ""Gentle Hour"", was released in 1993 as the band began to fragment somewhat. 

The full-length album, A.D.M., was released in 1996 and is predominantly Gutteridge singing and playing all instruments with Mike Dooley on drums. Christine Voice, together with Demarnia Lloyd (from Cloudboy) and Celia Pavlova (from King Loser) feature as guest vocalists.

Although never completely defunct; Snapper's activity since the late 1990s has been sporadic at best. In 2000 the Gutteridge, Voice and Dooley line-up, with additional members Maxine Funke and Thomas Bell, came together to perform a show as part of Dunedin City's Festival of the Arts.

Snapper re-formed for a concert in Dunedin in July 2012, and toured the NZ North Island in February 2013.

The Gutteridge-penned song ""Gentle Hour"" was covered by Yo La Tengo on the 2009 collaborative album ""Dark Was The Night"".   . "
Hip-Hop,West Coast Rap,"Santa Clara, California",Energetic,"Saweetie (born Diamonté Harper) is an American hip-hop recording artist and social media personality. Harper grew up in and around the Bay Area, primarily in the city of Hayward. Though she aspired to be a rapper in early childhood, she excelled academically, earned a full-ride college scholarship, and obtained a degree after attending San Diego State and the University of Southern California. Harper's interest in music subsequently intensified once she got some attention for short performance clips uploaded to Instagram. One set of nonchalantly celebratory rhymes, delivered over the instrumental of Khia's 2002 hit ""My Neck, My Back,"" developed into a track entitled ""Icy Grl."" Its official video, uploaded in October 2017, was approaching ten million views by the time major-label Warner Bros. gave the track wider digital distribution the following January. On March 15, 2018, she dropped her first EP ""High Maintenance""."
Dubstep,,,,
Hip-Hop,Urban/R&B,"Washington Heights, Manhattan, New York",Energetic,"Belcalis Almanzar (born October 11, 1992), known professionally as Cardi B, is an American hip hop recording artist, and a television and social media personality. Born in Washington Heights, Manhattan, and raised in the Highbridge neighborhood of the Bronx, New York City, she first attracted attention for discussing her career as a stripper on social media; coupled with her ""no filter attitude"", she became an Internet celebrity through Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York. In February 2017, she signed her first major label record deal with Atlantic Records. Her debut single for Atlantic, titled ""Bodak Yellow"", reached number one on the US Billboard Hot 100 chart, with the New York Times calling it ""the rap anthem of the summer"".

Early life
Cardi B was born on October 11, 1992, to a Trinidadian mother and Dominican father. She was raised in the Highbridge neighborhood located in the South Bronx section of New York City. Growing up she spent a lot of time at her grandmother's place in Washington Heights, Manhattan, to which she credits having ""such a thick accent"".

As a youth, Cardi B was a member of the Bloods street gang, claiming to have been a gangbanger since the age of 16. She went on to attend Renaissance High School For Musical Theater & Technology, a small specialty school on the Herbert H. Lehman campus. During her teenage years, she was employed at an Amish Market supermarket in Lower Manhattan, which was the last job that she held before turning to stripping at the age of 19. Upon being fired from Amish Market, her former manager recommended she work at a strip club. She has said she became a stripper to escape poverty and domestic violence, having been in an abusive relationship at the time. Cardi B has also said becoming a stripper was positive for her life in many ways: ""It really saved me from a lot of things. When I started stripping I went back to school."" Cardi B said at the time she was involved in an abusive relationship with whom she lived with in a small Bronx apartment. She says stripping was her only way out, a way to earn enough money to escape her dire situation and get an education. Nonetheless, she ended up dropping out of college.

In 2013, Cardi B began to gain publicity due to several of her videos going viral on social media, namely Vine and her official Instagram page.

Career
Music
In November 2015, Cardi B made her musical debut on Jamaican reggae fusion singer Shaggy's remix to his single ""Boom Boom"", alongside fellow Jamaican dancehall singer Popcaan. She made her music video debut on December 15, 2015, with the song ""Cheap Ass Weave"", her rendition of English rapper Lady Leshurr's ""Queen's Speech 4"". On March 7, 2016, Cardi B released her first full-length project, a mixtape titled Gangsta Bitch Music, Vol. 1. In November 2016, she was featured on the digital cover of Vibe magazine's ""Viva"" issue. On September 12, 2016, KSR Group released the compilation Underestimated: The Album, which is a collaboration between KSR Group artists Cardi B, Hood Celebrityy, SwiftOnDemand, Cashflow Harlem and Josh X. It was previously released only to attendees of their U.S. tour. KSR Group's flagship artist Cardi B said ""I wanted to make a song that would make girls dance, twerk and at the same time encourage them to go get that Shmoney,"" in regards to the compilation's single ""What a Girl Likes.""

On January 20, 2017, Cardi B released her second mixtape, which is the second installment to her Gangsta Bitch Music series. In February 2017, Cardi B partnered with MAC Cosmetics and Rio Uribe's Gypsy Sport for an event for New York Fashion Week. In late February, it was reported that Cardi B signed her first major record label recording contract with Atlantic Records. On February 25, 2017, Cardi B was the opening act for East Coast hip hop group The Lox's Filthy America... It's Beautiful Tour, alongside fellow New York City-based rappers Lil' Kim and Remy Ma. In April 2017, she was featured in i-D's ""A-Z of Music"" video sponsored by Marc Jacobs.

In May 2017, the nominees for the 2017 BET Awards were announced, revealing that Cardi B had been nominated for Best New Artist and Best Female Hip-Hop Artist. Although she failed to win any awards, losing to Chance the Rapper and Remy Ma, respectively, Cardi B performed at the BET Awards afterparty show. In June 2017, during Hot 97's annual Summer Jam music festival, Remy Ma brought out Cardi B, along with The Lady of Rage, MC Lyte, Young M.A., Monie Love, Lil' Kim and Queen Latifah, to celebrate female rappers and perform Latifah's 1993 hit single ""U.N.I.T.Y."" about female empowerment.

On June 16, 2017, Atlantic Records released Cardi B's commercial debut single, titled ""Bodak Yellow"" via digital distribution. In June 2017, it was revealed that Cardi B would be on the cover of The Fader's Summer Music issue for July/August 2017. On July 18, 2017, she performed ""Bodak Yellow"" on The Wendy Williams Show, where she was also interviewed by Williams. When the host asked where her moniker derived from, Cardi B responded with the distilled beverage Bacardi, as people would call her that. Her sister is also nicknamed Hennessy Carolina, referencing the French cognac: ""My sister's name, her name is Hennessy, so everybody used to be like Bacardi to me  then I shortened it to Cardi B, and the 'B' stands for whatever  depending on the day.""

In August 2017, ""Bodak Yellow"" entered the top two of the US Billboard Hot 100 chart. The song also reached number one on Hot R&B/Hip-Hop Songs. She performed at MoMA PS1 on August 19 to a crowd of 4,000. On the Hot 100 chart dated September 25, 2017, Cardi B claimed the top spot with ""Bodak Yellow"", becoming the first solo female rapper to do so since Lauryn Hill in 1998. ""Bodak Yellow"" was certified triple platinum by the Recording Industry Association of America (RIAA). With her collaborations ""No Limit"" and ""MotorSport"", she became first female rapper to land her first three entries in the top 10 of the Hot 100, and the first female artist to achieve the same on the Hot R&B/Hip-Hop Songs chart.

In October 2017, Cardi B headlined Power 105.1's annual Powerhouse music celebration, alongside The Weeknd, Migos and Lil Uzi Vert, at the Barclays Center in Brooklyn, New York. In December, she released a collaboration with Puerto Rican singer Ozuna titled ""La Modelo"", and the second single from her debut album, ""Bartier Cardi"".

Television
In 2015, Cardi B joined the cast of the VH1 reality television series Love & Hip Hop: New York, debuting in season six. She is considered the breakout star of the show's sixth season. The sixth and seventh seasons chronicle her rise to stardom and her turbulent relationship with her incarcerated fiancé. On December 30, 2016, after two seasons, she announced that she would be leaving the show to further pursue a career in music.

She appeared on the December 9, 2015 episode of Uncommon Sense with Charlamagne. On April 6, 2016, she was on the twelfth episode of Khloé Kardashian's Kocktails with Khloé: In it, she revealed how she told her mother that she was a stripper. In November, it was announced that she would be joining the cast of the BET series, Being Mary Jane. TVLine describes her character, Mercedes, as a ""round-the-way beauty with a big weave, big boobs and a big booty to match her oversized, ratchet personality.""

Cardi B guest-starred on the celebrity panel show Hip Hop Squares, appearing on the March 13 and April 3, 2017 episodes. On July 18, she appeared on The Wendy Williams Show where she performed ""Bodak Yellow"", as well as answered questions about her name and the status of her love life.

Artistry
Influences
In Billboard's ""You Should Know"" series, Cardi B said the first albums she ever purchased were by American entertainers Missy Elliott and Tweet, respectively. She also cited American pop singers Madonna and Lady Gaga as two of her favorite artists. She has credited Puerto Rican rapper Ivy Queen and Jamaican dancehall artist Spice as influences as well.

In an interview with music website Hollywood Unlocked, when asked about the initial direction for her music, Cardi B said, ""When I first started rapping  I liked certain songs from Khia and Trina, and they  fighting songs. I haven't heard fighting songs for a very long time,"" crediting the two female rappers for her aggressive rap style. She continued saying ""a lot of girls they can not afford red bottoms, a lot of girls they can not afford foreign cars  but I know that every girl has beef with a girl  I know that every bitch don't like some bitch, and it's like 'that's what I wanna rap about.'""

Musical style
AllMusic editor David Jeffries called Cardi B ""a raw and aggressive rapper in the style of Lil' Kim and Foxy Brown."" Stereogum called her voice ""a full-bodied New Yawk nasal bleat, the sort of thing that you've heard if someone has ever told you that you stupid for taking too long at swiping your MetroCard."" They continued to call her voice ""an unabashedly loud and sexual fuck-you New York honk—that translates perfectly to rap."" In a 2017 Complex article about her, the editor wrote ""unapologetic does not begin to describe the totally unfiltered and sheer Cardi B-ness of Cardi B's personality. She's a hood chick who's not afraid to be hood no matter the setting. Cardi B is Cardi B 24/7, 365, this is why she resonates with people, and that same energy comes out in her music.""

Other ventures
Fashion
As Cardi B rose to prominence she was able to transition from a stripper to modeling for fashion websites In February 2017, she partnered with M.A.C and Rio Uribe's Gypsy Sport for an event for New York Fashion Week. During an April 2017 interview with HotNewHipHop, Cardi B spoke on being rejected by fashion designers. Her April appearance in i-D's ""A-Z of Music"" video was sponsored by designer Marc Jacobs, and she made the cover of The Fader's July/August 2017 Summer Music issue.

In August 2017, the Style section of the New York Times's Sunday edition did a half-page story on her. The writer reported on her preparations for her first public performance in New York City, at MoMA PS1, describing her appearance as she arrived to the interview in ""leggings, an Atlanta Braves 'Lost Bravos' logo jersey and white Yeezy sneakers"". She also covered Cardi's affinity for Christian Louboutin heels (a running theme in her song ""Bodak Yellow""), and the custom local designer, LaQuan Smith, whose red dress she wore to perform.

Public image
Cardi B identifies as a feminist. The New York Times wrote ""on Love & Hip Hop: New York some viewers saw her as a hero of female empowerment, as she made pronouncements like

'Ever since I started using guys, I feel so much better about myself. I feel so damn powerful.'""

When commenting on her rise to stardom The Fader wrote ""one video in particular tipped her popularity over the edge. It was a 13-second clip that doubles as a neat précis of her ethos:

'People be asking me, 'What do you does? Are you a model? Are you, like, a comedian or something?' Nah, I ain't none of that. I'm a hoe. I'm a stripper hoe. I'm about this shmoney.'""

Personal life
Religion
Cardi B is of Christian faith, believing in God and Jesus Christ; she has mentioned her ""strong relationship"" with God in interviews, often saying that she ""talks to Him"": ""If you know me, you know that I have this deep connection to God. Is it crazy for me to say that I used to ask God to please help me? The strip club really helped me. I can say that it saved me…God put that in my way.""

Relationships
As of early 2017, Cardi B began publicly dating fellow American rapper Offset, of the southern hip hop group Migos, and the two quickly became a prevalent couple in the music industry. When speaking on her relationship with Offset, Cardi B told The Fader, ""It’s been a blessing, me meeting him and meeting his friends. I see how hard they work. And that motivated me to work even harder. And I see how good things are going for them and how popping it is to be number one. And I’m like, I want that. A lot of people just see they jewelry and they money, but I don’t think a lot of people see how hard they work for that shit every single day."" Cardi B and Offset became engaged on October 27, after Offset proposed to Cardi B at the Wells Fargo Center in Philadelphia, during the Power 99 Powerhouse concert. According to a report from TMZ, shortly after Offset and Cardi B became engaged, a handful of TV networks, including BET, VH1 and WE tv, began making offers for a nationally televised wedding special.

Awards and nominations
See also: List of awards and nominations received by Cardi B
Cardi received her first two nominations at the 2017 BET Awards. In September 2017, the nominees for the annual BET Hip Hop Awards were unveiled, revealing Cardi B to be in the lead, alongside DJ Khaled and Kendrick Lamar, with nine nominations, winning five. She received two nominations at the 60th Grammy Awards: Best Rap Performance and Best Rap Song.

In September 2017, Cardi B's single ""Bodak Yellow"" peaked at number one on the US Billboard Hot 100 chart, making Cardi B the first female rapper to top the chart with a solo output since fellow American rapper Lauryn Hill's ""Doo Wop (That Thing)"", debuted atop the chart in 1998. Overall, it made Cardi B the fifth female rapper to ever lead the Hot 100. Cardi B is also noted for being the first person of Dominican Republic descent to reach number one in the history of the Hot 100, since it was launched in 1958. In October, Cardi B broke another Billboard Hot 100 record, when ""Bodak Yellow"" stayed atop the charts for three consecutive weeks, tying with American pop singer Taylor Swift's ""Look What You Made Me Do"" as the longest running female at the number one spot on the charts in 2017.

In December 2017, Cardi B became the first female rapper to send her first three Billboard Hot 100 entries to the top 10."
,,,,A Polish rapper.
Euro Dance,,,,"XXL war ein deutsches Dance-Projekt der Produzenten und Songwriter Wasja Schulz und Wolfen, die bereits als Diss. Miss! zusammengearbeitet hatten. Zwischen 1994 und 1996 gab es diverse Single-Veröffentlichungen als XXL.

Der größte Hit wurde der Eurodance-Track It’s Cool Man mit der Stimme des Schweizers Peter Steiner, der als Werbefigur für Milka bekannt war. Das Lied platzierte sich Anfang 1995 in Deutschland und Österreich auf Platz 5 der Charts, in der Schweiz auf Position 4. Die Folgesingle Geierwally, ebenfalls mit Steiner, erreichte wenige Monate später Platz 10 der Schweizer Hitparade. Weitere kommerzielle Erfolge blieben aus.

Im Jahr 2022 warb die deutsche Niederlassung eines Poolbauunternehmens mit einer Coverversion von It’s Cool Man unter dem Titel It’s Pool Man!. Das Video erschien sowohl in einer TV-, als auch in einer Langversion."
